stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,on_demand
stop_302_67929,657-2t,"Ćwiklińskiej","02",50.015966,20.019968,1,,0,,,,,0
stop_303_68119,655-1t,"Teligi","01",50.016599,20.007159,1,,0,,,,,0
stop_303_68129,655-2t,"Teligi","02",50.016511,20.007916,1,,0,,,,,0
stop_304_68219,649-1t,"Prokocim Szpital","01",50.014443,19.998952,1,,0,,,,,0
stop_304_68229,649-2t,"Prokocim Szpital","02",50.014585,20.000171,1,,0,,,,,0
stop_305_71519,627-1t,"Nowosądecka","01",50.013455,19.964635,1,,0,,,,,0
stop_305_71529,627-2t,"Nowosądecka","02",50.013437,19.964684,1,,0,,,,,0
stop_306_71619,634-1t,"Piaski Nowe","01",50.015482,19.971574,1,,0,,,,,0
stop_306_71629,634-2t,"Piaski Nowe","02",50.015447,19.971604,1,,0,,,,,0
stop_307_71819,583-1t,"Witosa","01",50.012338,19.956857,1,,0,,,,,0
stop_307_71829,583-2t,"Witosa","02",50.012424,19.95579,1,,0,,,,,0
stop_309_74619,561-1t,"Solvay","01",50.016651,19.929831,1,,0,,,,,0
stop_309_74629,561-2t,"Solvay","02",50.015661,19.929342,1,,0,,,,,0
stop_310_74719,562-1t,"Borek Fałęcki","01",50.013101,19.927021,1,,0,,,,,0
stop_311_82319,345-1t,"Oleandry","01",50.059787,19.921194,1,,0,,,,,0
stop_311_82329,345-2t,"Oleandry","02",50.05985,19.920531,1,,0,,,,,0
stop_312_82419,743-1t,"Borek Fałęcki I","01",50.014602,19.927844,1,,0,,,,,0
stop_312_82429,743-2t,"Borek Fałęcki I","02",50.014561,19.927837,1,,0,,,,,0
stop_313_86719,117-1t,"Bieńczycka","01",50.075661,20.02044,1,,0,,,,,0
stop_313_86729,117-2t,"Bieńczycka","02",50.0757,20.02058,1,,0,,,,,0
stop_314_92219,553-1t,"Łagiewniki","01",50.030477,19.936964,1,,0,,,,,0
stop_314_92229,553-2t,"Łagiewniki","02",50.030486,19.937053,1,,0,,,,,0
stop_314_92239,553-3t,"Łagiewniki","03",50.029783,19.935369,1,,0,,,,,0
stop_314_92249,553-4t,"Łagiewniki","04",50.029498,19.935946,1,,0,,,,,0
stop_314_92259,553-5t,"Łagiewniki","05",50.029682,19.935452,1,,0,,,,,0
stop_316_94619,294-1t,"Klimeckiego","01",50.048976,19.967573,1,,0,,,,,0
stop_316_94629,294-2t,"Klimeckiego","02",50.049016,19.967621,1,,0,,,,,0
stop_318_96019,453-1t,"Park Jordana","01",50.06029,19.918105,1,,0,,,,,0
stop_318_96029,453-2t,"Park Jordana","02",50.060224,19.917799,1,,0,,,,,0
stop_319_104919,169-1t,"Głowackiego","01",50.07536,19.9068,1,,0,,,,,0
stop_319_104929,169-2t,"Głowackiego","02",50.075882,19.905845,1,,0,,,,,0
stop_320_105119,889-1t,"Fort Mogiła","01",50.066659,20.070794,1,,0,,,,,1
stop_320_105129,889-2t,"Fort Mogiła","02",50.066394,20.071325,1,,0,,,,,1
stop_321_115419,619-1t,"Zabłocie","01",50.0497,19.965148,1,,0,,,,,0
stop_321_115429,619-2t,"Zabłocie","02",50.049951,19.964216,1,,0,,,,,0
stop_322_117319,901-1t,"Dworzec Główny Tunel","01",50.068199,19.947649,1,,0,,,,,0
stop_322_117329,901-2t,"Dworzec Główny Tunel","02",50.068258,19.947641,1,,0,,,,,0
stop_323_126219,678-1t,"Rzebika","01",50.040429,19.992646,1,,0,,,,,0
stop_323_126229,678-2t,"Rzebika","02",50.040546,19.990871,1,,0,,,,,0
stop_325_136019,821-1t,"Plac Wszystkich Świętych","01",50.05912,19.93824,1,,0,,,,,0
stop_325_136029,821-2t,"Plac Wszystkich Świętych","02",50.059113,19.937497,1,,0,,,,,0
stop_328_253819,140-1t,"Miśnieńska","01",50.094489,19.999999,1,,0,,,,,0
stop_328_253829,140-2t,"Miśnieńska","02",50.094406,20.000154,1,,0,,,,,0
stop_329_253919,162-1t,"Rondo Hipokratesa","01",50.090025,20.021395,1,,0,,,,,0
stop_329_253929,162-2t,"Rondo Hipokratesa","02",50.090094,20.021355,1,,0,,,,,0
stop_330_254319,121-1t,"Wańkowicza","01",50.086978,20.04756,1,,0,,,,,0
stop_330_254329,121-2t,"Wańkowicza","02",50.086937,20.047608,1,,0,,,,,0
stop_331_254819,210-1t,"Suche Stawy","01",50.067467,20.060033,1,,0,,,,,0
stop_331_254829,210-2t,"Suche Stawy","02",50.067515,20.059695,1,,0,,,,,0
stop_334_258219,656-1t,"Nowy Prokocim","01",50.016128,20.012098,1,,0,,,,,0
stop_334_258229,656-2t,"Nowy Prokocim","02",50.016318,20.013226,1,,0,,,,,0
stop_335_260819,760-1t,"Dworzec Główny Zachód","01",50.06783,19.945354,1,,0,,,,,0
stop_335_260829,760-2t,"Dworzec Główny Zachód","02",50.067827,19.945408,1,,0,,,,,0
stop_338_56919,641-1t,"Limanowskiego","01",50.045136,19.954882,1,,0,,,,,0
stop_338_56929,641-2t,"Limanowskiego","02",50.045,19.955911,1,,0,,,,,0
stop_339_62119,643-1t,"Cmentarz Podgórski","01",50.038989,19.964548,1,,0,,,,,0
stop_339_62129,643-2t,"Cmentarz Podgórski","02",50.038686,19.964919,1,,0,,,,,0
stop_342_268519,124-1t,"Jarzębiny","01",50.092298,20.061609,1,,0,,,,,0
stop_342_268529,124-2t,"Jarzębiny","02",50.091985,20.061099,1,,0,,,,,0
stop_343_268619,528-1t,"Lipińskiego","01",50.030792,19.924804,1,,0,,,,,0
stop_343_268629,528-2t,"Lipińskiego","02",50.030738,19.924874,1,,0,,,,,0
stop_344_268719,526-1t,"Grota-Roweckiego","01",50.031867,19.920212,1,,0,,,,,0
stop_344_268729,526-2t,"Grota-Roweckiego","02",50.031593,19.921162,1,,0,,,,,0
stop_345_268819,527-1t,"Norymberska","01",50.029809,19.912225,1,,0,,,,,0
stop_345_268829,527-2t,"Norymberska","02",50.030129,19.913131,1,,0,,,,,0
stop_346_269019,291-1t,"Kampus UJ","01",50.024044,19.901485,1,,0,,,,,0
stop_346_269029,291-2t,"Kampus UJ","02",50.024685,19.901995,1,,0,,,,,0
stop_347_269119,292-1t,"Chmieleniec","01",50.020377,19.897505,1,,0,,,,,0
stop_347_269129,292-2t,"Chmieleniec","02",50.020825,19.898122,1,,0,,,,,0
stop_353_274419,105-1t,"Plac Centralny im. R.Reagana","01",50.071704,20.035631,1,,0,,,,,0
stop_353_274429,105-2t,"Plac Centralny im. R.Reagana","02",50.072961,20.036331,1,,0,,,,,0
stop_353_274439,105-3t,"Plac Centralny im. R.Reagana","03",50.072556,20.038845,1,,0,,,,,0
stop_353_274449,105-4t,"Plac Centralny im. R.Reagana","04",50.071283,20.038494,1,,0,,,,,0
